userName,content,score,at
Edo Saputra,Please help me on WhatsApp. Why is it always blurry every time I upload a status? Even though the video format I sent is above average. Please fix this as soon as possible.,4,2025-12-24 07:04:07
Albana Schmit,sering eror bikin g nyaman,1,2025-12-24 07:02:15
Ruady Cundin,wa aku gabisa terbuka aku dari Makassar 🙏,5,2025-12-24 07:02:06
Tesi Toulwala,Terbaik,5,2025-12-24 07:00:51
Idik idik,mantep,5,2025-12-24 07:00:37
reyhan ghani,gabisa pencet nomor dan pencet lanjut,2,2025-12-24 06:57:13
Ari Sucahyo,bagus si buat berkomunikasi,5,2025-12-24 06:55:29
Asep Septiadi,untuk tulis bio /tentang yang sekarang ga seru ga bisa permanen sampe 30 hari doang kembalikan seperti dulu,3,2025-12-24 06:54:39
Mita Ramelia,program beta sudah penuh saya tidak dapat menggunakan WhatsApp dan tidak bisa masuk,1,2025-12-24 06:52:53
YT LEVI 05,"stiker Sulit di pencet, tolong di perbaiki",1,2025-12-24 06:49:08
Andre Ramlah,baik,5,2025-12-24 06:48:46
Widhi Purwanto,sangat membantu,5,2025-12-24 06:47:32
Edwin Irawan,baik sekali,5,2025-12-24 06:46:55
Liando Tuama,stts wa jadi lebih buram padahal sudah upgrade,3,2025-12-24 06:45:25
Rino Asril,Bagusss,5,2025-12-24 06:42:34
Ernita Puspita,mempermudah dalam komunikasi kesemua orang,5,2025-12-24 06:42:07
nanda mufidah,"tiba"" ada notif pemulihan riwayat chat sehingga membuat chat yang penting hilang sebagian💔",4,2025-12-24 06:41:48
Kang Nuss,sangat baik sekali 👍🏻👍🏻,5,2025-12-24 06:39:03
Dino Via,kenapa ya nomor yang tak sematkan lepas sendiri dari pagi tadi tolong dong wa di tindak lanjutin,4,2025-12-24 06:38:18
sultanewerika78 189,woiii WhatsApp anjg tolong ilangin bug band spam itu ya toll,1,2025-12-24 06:37:30
Raju Gps,baik,5,2025-12-24 06:36:50
Rifki Kunte,aplikasi taikkk gak ada Energen Ama Milo,5,2025-12-24 06:36:21
sari man19,Ok tip,3,2025-12-24 06:31:23
Aan Saputra,mantap,5,2025-12-24 06:28:37
Mas Glend,"kebijakan whatsap sangat merugikan kami yg khusus nya penjual online..,spam group,spam no ,dan saya sekarang mengunakan telegram ...alhamdulillah",1,2025-12-24 06:28:05
Je Pri,sangat baik dan membantu,5,2025-12-24 06:27:12
Didi Papay,Bagus,5,2025-12-24 06:27:05
Zainal Arif,"uh aku baru saja di scam oleh seseorang sampai terkena langgar dan nomor saya tidak bisa saya pakai lagi, saya tidak tau harus berbuat apa karena banyak berkas atau file berguna yang saya simpan di whatsapp, aku tidak tahu apakah kalian bisa menolong saya atau tidak, tapi jika bisa saya mohon bantuannya, untuk tidak memblokir nomor WhatsApp saya 🙏🙏",1,2025-12-24 06:26:23
Banyak Akun,lebih baik lagi,5,2025-12-24 06:26:06
hasan shan,"semakin di update buknnya lbih baguss mlh mkinnn anehh, sepertinya bikin Sw burem, notifikasi gbisa di ubah sma nada dering",2,2025-12-24 06:24:25
Fauzi ji,kena spam mulu ga kaya dulu ni aplikasi nya,1,2025-12-24 06:24:14
Heru Gap,whtsap skrg klau mau tlpn atau vidio call gagal terus kalau mau memanggil,1,2025-12-24 06:22:17
Irawan Komara,awesome,5,2025-12-24 06:21:57
Buto Ijo,bagus banget,5,2025-12-24 06:20:41
Titin Boling,saya sangat suka,5,2025-12-24 06:20:39
Piktor Jak,mantap,5,2025-12-24 06:20:22
Kevin Alfiandi,"SUMPAH SI WHATSAPP MAKIN GA JELAS DIKIT DIKIT KENA BLOKIR AKUN ALASAN SPAM CHAT, HADUH PADAHAL ITU PENTING LOH NGASAL AMAT NGEBLOKIR AKUN",1,2025-12-24 06:19:02
Rama Dantos,"Makasih WhatsApp makin di update makin cakep gitu bisa berbicara dengan Al, dan juga Al lain Terus aku masuk grup dan keluar itu agak susah yg grup itu selalu aktif itu bukan bag WhatsApp sih mungkin itu Hp kita yg menumpuk penyimpanan dan ya WhatsApp adalah tempat chat terbaik di dunia dan di hati ku",5,2025-12-24 06:16:44
Diva Yuandara,"bintang tiga dulu, kenapa dari kemarin akun saya di blokir mulu karena spam? padahal saya tdk melakukan pelanggaran apapun, ini sudah ke 3 kalinya akun saya di blokir, beberapa kali saya juga tidak bisa mengirim stiker, foto, vidio, vn dll kecuali chat biasa.. ini kenapa ya?",3,2025-12-24 06:16:25
Maulana Rehan,kurang memuaskan karna setiap bulan selalu update aplikasi baru,1,2025-12-24 06:16:18
Emi Julaemi,semoga menjadi tambahan keluarga aku.dengan aplikasi resmi..amin.🙏🤲🤲🤲,5,2025-12-24 06:15:25
Alpan 20,ini knpa si memuat mulu pusing dah mana lagi perlu lagi,1,2025-12-24 06:13:41
Oppo F5,Lambat,1,2025-12-24 06:13:02
Erwin,sangat berguna,5,2025-12-24 06:05:45
Hamzah Barbakh,baik,5,2025-12-24 06:04:52
Nur Zen,sangat baguss,5,2025-12-24 06:02:17
Arifin April,"ada fitur berbagi lokasi terkini tp ga update, orang yg berbagi tidak bergerak, padahal sinyal sama2 bagus.",4,2025-12-24 06:01:05
Tiffany,saya suka sekali karna saya bisa berkomunikasi dengan teman² saya,5,2025-12-24 06:00:29
Ana Pasamanbarat,banyak masalah nya aplikasi whatsaap messenger versi terbaru nya,2,2025-12-24 05:59:57
ADHWA DZAKIRAH AFROZA,"whatsapp saya sering kali bermasalah, yg membuat sya menghapus lalu menginstal ulang apk trs menerus, mohon di benahi lagi. tolong perbaiki fitur cadangan hariannya. tolong adakan fitur hapus pengikut saluran",2,2025-12-24 05:59:42
Awal Udin,aplikasi mengecewakan kenapa setelah beberapa bulan di pakek keluar sendiri ketika ingin login di suruh apdate selalu begitu seterusnya terus bagaimana apanya yang salah,3,2025-12-24 05:59:08
ule le,wa ku padahal dipake buat kerja jadi kurir harus chat customer tiap waktu cuman sering kena blokir terus whatsapp ku cape lah kalau kaya gini kerja tolong lah untuk pihak whatsapp dibantu kerja samanya,5,2025-12-24 05:58:03
Putri Mikhyla,good,5,2025-12-24 05:57:05
rizky iky,wa saya ke spam spam padahal saya tidak melakukan apa-apa,5,2025-12-24 05:55:48
As Kuri,Tiga dulu,5,2025-12-24 05:46:20
Bandit Cupu,Semoga bisa digunakan,2,2025-12-24 05:44:20
veni nurhayati nurhayati,baik,1,2025-12-24 05:43:31
Sugeng Setyawan,cocok,5,2025-12-24 05:42:53
ALDA,saya menyarankan kalo mau klik baca semua dikasih konfirmasi gitu biar kao ga sengaja kepencet bisa di batalin,1,2025-12-24 05:42:30
Njill M,aplikasi ini sudah lama saya gunakan dan sangat bermanfaat,5,2025-12-24 05:42:08
Yeyem,cukup baik tergantung p nya,3,2025-12-24 05:42:01
Zidan,gak ada guna di tolak Mulu gw🗿,1,2025-12-24 05:41:49
Tubagus Sukiya,Mantap,5,2025-12-24 05:41:22
Cristovão Dacosta Pereira,aku kasi Bintang lima karen aplikasi ini sangat penting,5,2025-12-24 05:37:59
Epi Alpian Hulu,kenapa ya WhatsApp messenger saya sering kena spam,1,2025-12-24 05:37:42
Pocong Terbang,ke kenon mulu jing,1,2025-12-24 05:36:58
Abi Mansyur,wa memang inthebas,5,2025-12-24 05:36:49
bungbulang 01,Bagus,5,2025-12-24 05:36:13
Ega Frayoga,Whatsapp membantu chat kesemua orang teman keluarga untuk saking terhubung,5,2025-12-24 05:35:30
Putra Syah,WA sekarang sulit sesuka hatinya memblokir akun,1,2025-12-24 05:34:07
Kalief Devan,dikit dikt kena blokir,1,2025-12-24 05:33:03
"Agus Supriyadi, SH","terbaik dlm nyambung komunikasi keluarga,kawan,dan kenalan",5,2025-12-24 05:30:04
Sonah Koulibaly,saya tiba tiba mengalami spam padahal saya baru saja membeli no nya,1,2025-12-24 05:26:15
Hariyanto Jejho,oke,5,2025-12-24 05:26:03
Alpriana Tasiklola,Bagus,5,2025-12-24 05:24:54
Kasran 81,aktivasi wa,5,2025-12-24 05:24:23
Dedi Putra,sangat bagus,5,2025-12-24 05:23:37
rizka farahzaky,bug mlu😒 24/12/2025,3,2025-12-24 05:23:13
Arni Abah,Oke mantap,5,2025-12-24 05:22:57
Putri rahmawati,terima kasih google play store semua aplikasi sangat bagus dan saya sangat puas 🥰👍👍👍,5,2025-12-24 05:22:42
fahim Jahat,kanapa selalu keluar,1,2025-12-24 05:22:35
Adzkia Batrisya,Sangat baik digunakan,5,2025-12-24 05:22:28
Mama Nana,kadang gak bisa kirim emoticon,2,2025-12-24 05:22:00
m sholihin,sering kena spam...,5,2025-12-24 05:21:53
Abu Bakar,tiba tiba chat semua terhapus kayak tiba tiba aja padahal penyimpanan masih banyak tapi kenapa malah terhapus udah 4 kali saya di gituin coba bisa bintang 0 sayangggggg kasih 0 bikin emosi mulu ini apk,1,2025-12-24 05:21:38
Botek Jr,wa opo prifasi opo,1,2025-12-24 05:20:02
Muhammad Mulyadi,"update makin hancur, aplikasi ga stabil, alihkan nomor satu ke nomor lain lambat, kesalahan data terus hadeuh",1,2025-12-24 05:19:17
RIDUWAN SAPUTRA,makin kesini makin aneh masa mau masukin nomor gak bisa dipencet,1,2025-12-24 05:18:39
Luis Anugrah.p,aplikasi ini sangat membantu dalam mengirimkan informasi,5,2025-12-24 05:18:27
Vyo Na,ok,5,2025-12-24 05:16:39
RaKhay channel,bgus,5,2025-12-24 05:16:29
Yudha Farel,selalu terdapat spam permanen setiap bulan,1,2025-12-24 05:16:24
AHDA GAMING,"gajelas, kalau lagi telfon tiba-tiba menghubungkan ulang, padahal sinyal kenceng",3,2025-12-24 05:15:59
Nuriwayati01,sangat membantu dan bagus banget 6,5,2025-12-24 05:15:36
Redit Sunadi,sangat membantu,5,2025-12-24 05:14:18
Abdul Aziz,wa kenapa kok tiba-tiba cht ilang semua,1,2025-12-24 05:13:53
mijank pahmijan,ok,5,2025-12-24 05:13:40
Ueusus Djdjd,"Makin Lama MAKIN GAJE NIH WHATSAPP😬 gada ANGIN gada HUJAN tiba"" WhatsApp ku ke blokkkkk 3x all hasil keblok permanen😭🙂 PADAHAL WHATSAPP SAYA GA PERNAH MELANGGAR ATAUPUN SEWAIN ,, WA PRIBADI UDAH 7 TAHUNAN LOHHHH BARU KALI INI 😭😭😭😪",1,2025-12-24 05:12:16
Sapi Brama,Keren,5,2025-12-24 05:11:50
Di Ka,bagus apk ini sangat penting dalam komunikasj,4,2025-12-24 05:10:55
FF Budhi,bagus bgt rasanya punya WA bisaa chatan Sama orngg luarr negrii,3,2025-12-24 05:10:42
Nahril01 Salsabil,gimana ini wa kok status yang di bisukan gak bisa di buka lagi gimana iniii...,3,2025-12-24 05:10:38
Jaka Pratama Purba,aneh gak bisa di ganti nada dering panggilan nya,1,2025-12-24 05:10:30
edy andrianto,good,5,2025-12-24 05:08:41
Oscar Lature,Kwalitas video call sering bermasalah,5,2025-12-24 05:06:19
Infinix Smart6p,"tolong dong adakan fitur hd untuk status, kalau bikin status burem parahhh",3,2025-12-24 05:05:56
Wances Bali,tolong memperlancar apknya soalnya lemot kalau lagi cari kontak,5,2025-12-24 05:03:38
Azkiya Ismawardhani,knp hrs ada kenon?,1,2025-12-24 05:02:05
maria ulfa,"KENAPA SEKARANG APA APA SELALU KENA BLOK? LIAT SW ORNG KENA PRINGATAN CHTAN KE BEDA ORANG JUGA KENA BLOK, TOLONG DI PERBAIKI LAGIIIUU",4,2025-12-24 05:01:37
gugleid 0789,ini WA kenapa ngebug oii,1,2025-12-24 05:00:48
Adrina Alviona,suka ngeleg begitu WhatsApp nya ya?,5,2025-12-24 05:00:34
Nazwa Aulia,setiap sv nomor beberapa waktu kemudian pasti nomornya udah ilang gitu aja. mesti sv ulang lagii😭😭kan ngeselin yakk😭😭,3,2025-12-24 05:00:20
Andi sutawan Andi,sangat membantu,5,2025-12-24 04:57:40
Mamonto Farel,whatsapp ini tidak bisa mengirim kan foto atau pun fideo,4,2025-12-24 04:55:57
riyan aw,error Mulu error Mulu pas nelfon. ini wa knp dah,1,2025-12-24 04:54:28
Laksa,dikit² di blokir wa ampas,1,2025-12-24 04:53:14
M.Abidzar Alghifari,tidak kebagian fitur musik,5,2025-12-24 04:52:04
Gifson Tambunan,mantap,5,2025-12-24 04:51:10
Susana Achink,Tolong tombol asisten dan tombol plus dihapus atau di beri aturan tampil dilayar atau tidak. Bagi sy itu sangat menggangu 👎 Tolong tambahkan tombol pulih semua agar lebih mudah dalam menghapus tautan dalam pesan. Terimakasih,3,2025-12-24 04:50:43
Yashi F.L.A,ok,5,2025-12-24 04:50:19
Leo Wardi,Oks,5,2025-12-24 04:49:29
Mus tofa,mohon maaf untuk WhatsApp di nomor dan akun saya ini kok selalu spam padahal saya tidak pernah konten yg merugikan orang lain atau mengirim gambar yg di larang,1,2025-12-24 04:48:51
Reza Pranata,karna menginstal nya lama,3,2025-12-24 04:43:38
Ferry Kurniawan Ferry,aplikasi ini sangat berguna saya menghubungi keluarga yg jarak jauh,5,2025-12-24 04:41:40
Siti Nur loklomin,"Tidak memuaskan,karena WhatsApp saya tidak bisa dibuka saat",1,2025-12-24 04:40:16
Fitri Handayani,sangat bagus,5,2025-12-24 04:39:19
Ah Cy,🙏🙏🙏,5,2025-12-24 04:37:44
asep js,saya kecewa sama pihak whatsapp cuma lama merespons dan berbalas chatt tiba tiba akun kena peringatan blokir dan tidak bisa menggunakan whatsapp lagi...,1,2025-12-24 04:37:07
Wahyu Slamet Paryadi,saya upload video status tapi tidak mau terkirim dan terbaca dan keterangannya video tidak ada di penyimpanan internal. padahal videonya tersimpan di penyimpanan internal🙏,1,2025-12-24 04:36:04
Nanho Jupiter,Knp wa saya gg bisa d buka,5,2025-12-24 04:35:43
Ujang Ihyanudin,Baik,5,2025-12-24 04:35:33
Zhea Azzahra,aneh whatsaap ini minta di update tp gabisa,2,2025-12-24 04:35:28
Agus Fadil,bagus banget capcut ini bisa ngedit foto dan vidio,5,2025-12-24 04:35:19
Yazid Kasim,Sangat membantu untuk mendapatkan berita.,5,2025-12-24 04:34:49
Sakti Giantara,bagus banget,5,2025-12-24 04:34:20
Faza Ghulaman,sering error,1,2025-12-24 04:33:44
Fira Safa'atin,eror terus,2,2025-12-24 04:32:37
Crenz Official,kena spam mulu huhhh,1,2025-12-24 04:32:22
Vivo Y12,bagus,5,2025-12-24 04:30:31
Muhamad Sabeni,wa skrg terlalu rumit.andaikan ad pengganti aplikasi seperti wa pasti udh sy tinggalkan,1,2025-12-24 04:30:09
Sri Wayati,bagussss🥰,5,2025-12-24 04:30:05
Juandi Kaindi,"aplikasi aneh, chat tiba-tiba kehapus sendiri dan pada saat mengembalikan chatnya itu sudah tidak bisa lagi, aku sangat kecewa",1,2025-12-24 04:30:02
Rizky Haidir,oke mntp,5,2025-12-24 04:27:57
kayla kayla,baik,5,2025-12-24 04:27:44
Muhamad Popong,bagus,5,2025-12-24 04:24:58
OwensDev,"mohon kepada pihak whatsapp, saya menemukan bug yaitu selalu di logout dari whatsapp. tolong di perbaiki bug ini secepatnya",2,2025-12-24 04:24:45
mutiarahilda,ko sekarang kalo upload status suka ga hd ya?,2,2025-12-24 04:24:42
Sandi Mulyadin,oke,5,2025-12-24 04:24:40
Bapa Mamah,baguss,4,2025-12-24 04:24:28
Jomblo Masakini,sangat disayangkan WhatsApp ini makin tidak nyaman digunakan,5,2025-12-24 04:24:22
Muhammad Arif,"tolong ya ini WhatsApp kenapa, saya cuma kirim satu poto ke nomor orng lain langsung kena blokir",2,2025-12-24 04:23:25
Abdul Muiz,aplikasi aneh nomer gw ga apa apa malah ke kenonn ngeri banget wkwk,1,2025-12-24 04:23:04
Raihan Al hafiz,"kecewa banget sama WhatsApp sekarang bikin story WhatsApp pasti gambar, ataupun video nya pasti jadi burik dan tidak hd padahal gambar maupun video saya sudah hd,tolong di perbaiki lagi biar orang tidak kecewa dan kabur",1,2025-12-24 04:22:49
azzahra husna,👍,5,2025-12-24 04:22:21
Aldi Rivaldo,kenapa nomer baru 1 bulan bisa kenap blokir pihak whatsapp?? skrg whatsapp gk kaya dulu nomer baru 1 bln d blokir aneh kan massa iya setiap satu bulan sekali ganti nomer,1,2025-12-24 04:22:04
Karisa Gultom,bagus,5,2025-12-24 04:19:57
Liana Ferawati,bagus sekali walaupun kadang menyakitkan hati,5,2025-12-24 04:19:52
dimas geograf,aku ke banned,1,2025-12-24 04:19:37
Santoso Cokro,"terimakasih WhatsApp,app sangat berguna khusus bagi saya, sukses slalu WhatsApp",5,2025-12-24 04:19:22
agni,komunikasi mendunia,5,2025-12-24 04:19:04
Icha,"keluhannya. 1. saya ganti wallpaper trus pas kluar dari aplikasinya malah wallpapernya berubah ke polos gtu(wallpaper yang belom di seting sama sekali) 2. notifikasi nya udah saya seting truss tiba tiba beda lagi mau itupun notifikasi chet/call 3. pin chet. udah saya pin salah satu kontak tmn saya, trus paas keluar dari aplikasinya/ntahlah ngapain itu tiba tiba kontak yang saya pin itu lepas sendiri. pdhl yaa itu saya ga otak atik!!!",1,2025-12-24 04:18:43
Muhammad Rifqi,"kenapa sih pihak whatsapp selalu membatasi akunku padahal aku tidak melanggar ketentuan seperti tidak memakai wa mood atau wa pihak ke tiga lucu, aneh.....",1,2025-12-24 04:18:41
GOMEZ TERUS,sangat mudah dan bagus,5,2025-12-24 04:18:32
vera Sari,kak kenapa whatsapp tidak dapat dibuka dihp saya,5,2025-12-24 04:14:30
Ira Ramadhanty,saya susah menginstal makanya saya LBH baik WA yg lama lebih mudah,3,2025-12-24 04:11:40
BTR_tryzen,"update nya tiap bulan, tapi kalau story malam burik, tolong di perbaiki lah",4,2025-12-24 04:10:00
yudistira ST,wa yg sagat seru,5,2025-12-24 04:09:33
Bintang setyopratama,keamanan nya di perketat udah itu doang,4,2025-12-24 04:07:49
My Tanisha,"sekarang tiap menambahkan musik untuk poto/video otomatis poto jadi blur resolusi jelek, kalau tau bakalan gini gak perlu nambahin fitur musik dong, padahal dulu gak gini",1,2025-12-24 04:06:23
Aji Soro202,Ok,5,2025-12-24 04:06:19
Sarpin Sarpin,tolong diperbaiki untuk nomor yg diverivikasi,5,2025-12-24 04:03:39
Calvin Agustinus,"kenapa whatsapp saya ke log out terus, setelah saya login tiba tiba keluar sendiri",5,2025-12-24 04:02:48
Indriani Ririn,sematkan chat gabisa seterusnya cuma hitungan menit dah ilang lagi,2,2025-12-24 04:02:33
Predrin Only,epik,5,2025-12-24 04:02:13
Dewi Dewi,Knp wa tdk dpt digunakan,5,2025-12-24 04:02:11
Atharizz Caliefiandro Wilukman,aplikasinya bagus dan aku jadi bisa main bareng dengan temanku,5,2025-12-24 04:01:35
Rena april lia Aprilia,b aja,1,2025-12-24 04:00:50
ari fai,sering kena spam,2,2025-12-24 04:00:39
Maliha Cinderleha,ok mksih,5,2025-12-24 03:58:18
Sabrina Sabrina,semoga gak kenak hekernlgi amin,5,2025-12-24 03:57:51
m Harianto,sgt baik,5,2025-12-24 03:57:47
Md Reguler,terpercaya,5,2025-12-24 03:57:05
Iyan Iyan,Yees,5,2025-12-24 03:57:00
Hariyanto Susilo,updet terlalu lama,1,2025-12-24 03:54:40
Elvira Alika Putri,seru aja,5,2025-12-24 03:53:24
Anastasia Simorangkir,"kasi bntang 5, tp knp skrg sering kluar dari apk trs? setiap mau liat saluran, keluar. setiap mau up sw, keluar trus juga kl ada chat, gaada notifnya. ini tolong ya.",5,2025-12-24 03:49:42
Hamimah Sabar,Sangat baik berkomonikasi,4,2025-12-24 03:49:05
Arya Hendra Setiawan,pdahal no nya baru beli tapi di block karna spam ga jelas bet WA tolong jika sudah di verifikasi pake email jgn asal block karna spam pdhl lagi nambahin no tmn,1,2025-12-24 03:47:56
Deli Antonius,BAGUS,5,2025-12-24 03:47:14
Ilham Anti,saya mau men daowlod ini,5,2025-12-24 03:45:58
Komang Putra,aplikasi nya keren dan bagus syang nya gk ad yang mau bls cht,5,2025-12-24 03:45:56
Dede,baik,5,2025-12-24 03:44:09
Chosy Amiri,Ok,5,2025-12-24 03:42:52
Darpan Asek,Sinyal bagus,5,2025-12-24 03:42:16
Wawan Wawanbae,halo tim WhatsApp tolong jelaskan knp setiap saya chat nomor baru di WhatsApp saya pasti langsung di blokir padahal saya tidak melanggar dalam komunikasi tolong perbaiki ini sangat menganggu saya terima kasih,1,2025-12-24 03:41:14
